Market,Keyword,Category,Intent,Est. Search Volume,Keyword Difficulty,Opportunity Score,Current Position,30-Day Avg Pos,Ranking Potential,Notes
AU,Giant Bubble Concentrate Australia,product,commercial,210,40,8.0,,,,Core product term — Tinka sells 500ml/240ml concentrates
AU,Pour n Play Giant Bubble Juice,product,commercial,170,35,8.0,,,,Unique product name — no competition on this exact term
AU,Bubble Wand Australia,product,commercial,390,55,7.5,,,,High vol but competitive — long-tail variant needed
AU,People in a Bubble Wand,product,commercial,140,25,8.5,,,,Unique product — strong local ranking potential
AU,Windy Day Bubble Wand,product,commercial,110,20,8.5,,,,Unique product name — content opportunity
AU,Giant Bubble Gift Card Australia,product,commercial,60,15,7.5,,,,Seasonal gift opportunity
AU,Giant Bubbles Sydney,local,commercial,170,25,8.5,,,,Major AU city — local event/performer search
AU,Giant Bubbles Melbourne,local,commercial,210,30,8.0,,,,Second-largest AU city
AU,Giant Bubbles Brisbane,local,commercial,130,20,8.5,,,,Growing QLD market
AU,Giant Bubbles Perth,local,commercial,110,20,8.5,,,,WA market
AU,Giant Bubbles Gold Coast,local,commercial,100,15,8.5,,,,Tourist/event market
AU,Bubble Entertainment Melbourne,local,commercial,90,15,8.0,,,,Event performer search
AU,Party Bubbles Australia,party,commercial,260,40,7.5,,,,Broader party keyword
AU,Wholesale Bubble Solution Australia,b2b,commercial,90,20,8.5,,,,Wholesale enquiry page
AU,Bulk Bubble Concentrate Australia,b2b,commercial,70,15,8.5,,,,B2B bulk orders
AU,Giant Bubbles for Schools Australia,b2b,commercial,60,10,8.0,,,,Educational market — content idea
AU,How to Make Giant Bubbles With Corn Syrup,content,informational,320,25,8.5,,,,Long-tail recipe variant
AU,Best Giant Bubble Recipe Australia,content,informational,210,25,8.5,,,,AU-specific recipe search
AU,Giant Bubble Science Experiment,content,informational,260,20,7.5,,,,Educational content — schools/parents
AU,Giant Bubbles Party Ideas,content,informational,390,35,7.5,,,,Broader party content
AU,Giant Bubble Photography Tips,content,informational,110,15,7.5,,,,Visual content — wedding/event photographers
AU,Bio-Grade Bubble Solution Australia,product,commercial,50,10,8.0,,,,Eco-conscious niche — Tinka is bio-grade
AU,Non Toxic Giant Bubbles,product,commercial,210,30,8.0,,,,Safety-driven parents
AU,Giant Bubbles for Toddlers,kids,commercial,170,20,8.0,,,,Age-specific parenting search
AU,Giant Bubbles Birthday Party Australia,party,commercial,140,25,8.5,,,,Local event planning
AU,Giant Bubble Entertainer Hire Australia,local,commercial,90,15,8.5,,,,Service booking intent
NZ,Pour n Play Bubble Juice NZ,product,commercial,100,20,8.5,,,,NZ-specific product name search
NZ,Tinka Giant Bubbles,brand_general,navigational,210,10,9.0,,,,Brand search — should be #1
NZ,People in a Bubble Wand NZ,product,commercial,90,20,8.5,,,,Unique product — strong local advantage
NZ,Windy Day Wand NZ,product,commercial,70,15,8.5,,,,Unique product — no competition
NZ,Giant Bubble Concentrate New Zealand,product,commercial,140,30,8.0,,,,Core product search
NZ,Bubble Wand,product,commercial,480,60,6.5,,,,High vol but very competitive — long-tail better
NZ,Giant Bubbles Christchurch,local,commercial,100,15,8.5,,,,South Island market
NZ,Giant Bubbles Wellington,local,commercial,110,15,8.5,,,,Capital city market
NZ,Giant Bubbles Hamilton NZ,local,commercial,60,10,8.0,,,,Waikato region
NZ,Bubble Entertainer Christchurch,local,commercial,70,10,8.5,,,,Event performer in CHC
