keyword,market,category,est_monthly_volume,competition,relevance,opportunity_score,notes
Wedding Bubble Send Off NZ,NZ,wedding,170,Low,High,8.5,Pinterest & TikTok trend. Tinka has wedding event page but zero keyword coverage for send-off. Target as "bubble exit wedding" alternative.
Wedding Bubble Exit Australia,AU,wedding,210,Low,High,8.5,"Growing trend for eco-friendly sparkler alternatives. "Bubble exit wedding" returning 210/mo est."
Bubble Send Off Wedding Sign,AU,signing,110,Low,Medium,7.5,"Printable sign searches. Easy blog post targeting Etsy/Pinterest audience, Amazon listing opportunity."
Giant Bubbles Invercargill,NZ,local,30,Very Low,High,7.5,"NZ's southernmost city (50k pop). Zero competition. Pure local SEO play for Southland event bookings."
Giant Bubbles Whangarei,NZ,local,40,Very Low,High,7.5,"Northland's main city (60k pop). No existing coverage. Gateway to Bay of Islands tourist market."
Giant Bubbles Taupo,NZ,local,50,Very Low,High,8.0,"Major tourist hub (central North Island). Synergy with hot springs/spa tourism. Family destination."
Giant Bubbles Wanaka,NZ,local,40,Very Low,High,8.0,"Premium tourist destination. Family market with outdoor lifestyle. Zero competition currently."
Giant Bubbles Blenheim,NZ,local,30,Very Low,Medium,7.0,"Marlborough region. Wine country but also family tourism. Low volume but guaranteed #1 ranking."
Giant Bubbles Timaru,NZ,local,30,Very Low,Medium,7.0,"South Canterbury's main centre. Small but zero competition for local SEO."
Giant Bubbles Geelong,AU,local,70,Low,High,8.0,"Victoria's 2nd largest city (270k pop). Major gap — no Geelong coverage despite nearby Melbourne."
Giant Bubbles Townsville,AU,local,60,Low,High,8.0,"North QLD hub (180k pop). Tropical climate = year-round outdoor play potential."
Giant Bubbles Ballarat,AU,local,50,Low,Medium,7.5,"Major regional Vic (110k pop). Heritage tourism + family market."
Giant Bubbles Launceston,AU,local,40,Very Low,High,7.5,"Tasmania's 2nd city. No TAS coverage at all. Pure local SEO opportunity."
Matariki Activities for Families NZ,NZ,seasonal,210,Low,High,8.0,"Growing cultural event (Māori New Year, June-July). Schools and families seek activities. Giant bubbles = outdoor whānau activity."
Waitangi Day Family Activities NZ,NZ,seasonal,140,Low,High,7.5,"Annual Feb 6 event. Family beach/picnic activities in demand. Bubbles as perfect outdoor celebration."
Summer Holiday Fun for Kids NZ,NZ,seasonal,320,Medium,Medium,7.0,"High-volume seasonal. Broad category but can target with summer bubble content. Distinguish from 'Summer Activities for Kids NZ'."
Sensory Bubbles for Autism,AU,sensory,170,Low,High,8.5,"Therapy/neurodiversity play. Bubbles are known autism therapy tool. Tinka's NZ-made natural focus is differentiator."
Bubble Science Experiments for Kids,AU,content,260,Medium,Medium,7.5,"STEM content play. Different from existing 'Giant Bubble Science Experiment' (AU) — broader educational angle."
Backyard Obstacle Course for Kids NZ,NZ,content,170,Medium,Medium,7.0,"Parenting activity content. Bubbles can be a station in obstacle course. Blog post opportunity."
Outdoor Montessori Activities NZ,NZ,content,140,Low,High,8.0,"Parenting/educator niche. Montessori-aligned outdoor play. Bubbles = practical life + sensory learning."
Screen Free Summer Activities NZ,NZ,content,260,Low,High,8.0,"Different from existing 'Screen Free Activities for Kids NZ' — seasonal version with summer twist. Higher volume potential."
Best Bubbles for Toddlers NZ,NZ,kids,170,Low,High,8.0,"Age-specific product search. Different from 'Giant Bubbles for Toddlers' (AU only). Targets parents of 1-3 year olds."
Giant Bubbles for Parties,AU,party,320,Medium,High,7.5,"Generic high-volume search. Different from 'Giant Bubbles Party Ideas' (AU 390) and individual party city pages. Broad funnel."
Eco Friendly Kids Birthday Party Activities,AU,sustainable,140,Low,High,8.0,"Sustainability + party planning. Tinka products = eco credentials. Blog + landing page opportunity."
Giant Bubbles Community Events NZ,NZ,local,50,Very Low,High,8.0,"Community/festival entertainment niche. Targets school fairs, council events, market days. Different from existing event keywords."
